date_hour,lat,long,signal,network,operator,status,description,net,speed,satellites,precission,provider,activity,downloadSpeed,uploadSpeed,postal_code,town_name,position_geom,SHAPE
2017-12-10 10:55:37,41.13794,1.18015,5,jazztel,JAZZTEL,2,STATE_EMERGENCY_ONLY,3G,94.9,0.0,18.0,gps,IN_VEHICLE,0.0,0.0,431233.0,Reus,POINT(1.18015 41.13794),"{'spatialReference': {'wkid': 4326}, 'x': 1.18015, 'y': 41.13794}"
2017-12-10 10:57:27,41.1381,1.16699,5,jazztel,JAZZTEL,2,STATE_EMERGENCY_ONLY,3G,52.0,5.0,8.0,gps,IN_VEHICLE,0.0,0.0,439076.0,la Canonja,POINT(1.16699 41.1381),"{'spatialReference': {'wkid': 4326}, 'x': 1.16699, 'y': 41.1381}"
2017-12-10 18:43:48,41.96054,2.25927,8,movistar,Movistar,2,STATE_EMERGENCY_ONLY,3G,88.7,4.0,4.0,gps,IN_VEHICLE,0.0,0.0,81000.0,Gurb,POINT(2.25927 41.96054),"{'spatialReference': {'wkid': 4326}, 'x': 2.25927, 'y': 41.96054}"
2017-12-10 08:29:22,41.65585,2.73414,5,movistar,Movistar,2,STATE_EMERGENCY_ONLY,3G,56.1,7.0,7.0,gps,IN_VEHICLE,0.0,0.0,81108.0,Malgrat de Mar,POINT(2.73414 41.65585),"{'spatialReference': {'wkid': 4326}, 'x': 2.73414, 'y': 41.65585}"
2017-12-10 08:19:26,41.71119,2.68805,13,movistar,Movistar,2,STATE_EMERGENCY_ONLY,3G,52.3,9.0,10.0,gps,IN_VEHICLE,0.0,0.0,82845.0,Tordera,POINT(2.68805 41.71119),"{'spatialReference': {'wkid': 4326}, 'x': 2.68805, 'y': 41.71119}"
2017-12-10 19:23:33,41.96698,2.82297,12,movistar,Movistar,2,STATE_EMERGENCY_ONLY,3G,45.8,10.0,4.0,gps,IN_VEHICLE,0.0,0.0,170792.0,Girona,POINT(2.82297 41.96698),"{'spatialReference': {'wkid': 4326}, 'x': 2.82297, 'y': 41.96698}"
2017-12-10 19:24:23,41.97021,2.82334,15,movistar,Movistar,2,STATE_EMERGENCY_ONLY,3G,25.9,4.0,8.0,gps,IN_VEHICLE,0.0,0.0,170792.0,Girona,POINT(2.82334 41.97021),"{'spatialReference': {'wkid': 4326}, 'x': 2.82334, 'y': 41.97021}"
2017-12-10 19:11:50,41.87418,2.75944,8,movistar,Movistar,2,STATE_EMERGENCY_ONLY,3G,120.6,12.0,4.0,gps,IN_VEHICLE,0.0,0.0,172333.0,Vilobí d'Onyar,POINT(2.75944 41.87418),"{'spatialReference': {'wkid': 4326}, 'x': 2.75944, 'y': 41.87418}"
2017-12-10 11:27:14,42.22715,1.2943,2,movistar,Movistar,2,STATE_EMERGENCY_ONLY,3G,23.0,1.0,25.0,gps,IN_VEHICLE,0.0,0.0,250616.0,Cabó,POINT(1.2943 42.22715),"{'spatialReference': {'wkid': 4326}, 'x': 1.2943, 'y': 42.22715}"
2017-12-10 11:16:27,40.71722,0.80427,6,movistar,Movistar,2,STATE_EMERGENCY_ONLY,3G,22.2,0.0,32.0,gps,IN_VEHICLE,0.0,0.0,439018.0,Deltebre,POINT(0.80427 40.71722),"{'spatialReference': {'wkid': 4326}, 'x': 0.80427, 'y': 40.71722}"
2017-12-10 11:04:14,41.73376,2.69864,3,vodafone,vodafone ES,2,STATE_EMERGENCY_ONLY,3G,73.9,4.0,6.0,gps,IN_VEHICLE,0.0,0.0,80826.0,Fogars de la Selva,POINT(2.69864 41.73376),"{'spatialReference': {'wkid': 4326}, 'x': 2.69864, 'y': 41.73376}"
2017-12-10 05:56:32,41.37259,2.04814,19,vodafone,vodafone ES,2,STATE_EMERGENCY_ONLY,3G,70.6,2.0,13.0,gps,IN_VEHICLE,0.0,0.0,82172.0,Sant Joan Despí,POINT(2.04814 41.37259),"{'spatialReference': {'wkid': 4326}, 'x': 2.04814, 'y': 41.37259}"
2017-12-10 05:55:17,41.37718,2.03164,11,vodafone,vodafone ES,2,STATE_EMERGENCY_ONLY,3G,69.1,2.0,21.0,gps,IN_VEHICLE,0.0,0.0,82444.0,Santa Coloma de Cervelló,POINT(2.03164 41.37718),"{'spatialReference': {'wkid': 4326}, 'x': 2.03164, 'y': 41.37718}"
2017-12-10 12:42:17,42.34705,2.91492,15,F-Bouygues Telecom,F-Bouygues Telecom,2,STATE_EMERGENCY_ONLY,3G,118.3,8.0,10.0,gps,IN_VEHICLE,0.0,0.0,172348.0,Biure,POINT(2.91492 42.34705),"{'spatialReference': {'wkid': 4326}, 'x': 2.91492, 'y': 42.34705}"
2017-12-10 17:03:34,42.06277,2.2187,9,vodafone,vodafone ES,2,STATE_EMERGENCY_ONLY,3G,1.2,1.0,27.0,gps,ON_BICYCLE,0.0,0.0,81509.0,Orís,POINT(2.2187 42.06277),"{'spatialReference': {'wkid': 4326}, 'x': 2.2187, 'y': 42.06277}"
2017-12-10 15:29:21,41.52121,1.89834,19,orange,Orange,0,STATE_IN_SERVICE,4G,0.0,1.0,96.0,gps,STILL,0.0,0.0,80018.0,Abrera,POINT(1.89834 41.52121),"{'spatialReference': {'wkid': 4326}, 'x': 1.89834, 'y': 41.52121}"
2017-12-10 15:46:37,41.5266,2.06674,2,movistar,Movistar,0,STATE_IN_SERVICE,4G,0.6,2.0,59.0,gps,STILL,0.0,0.0,82384.0,Sant Quirze del Vallès,POINT(2.06674 41.5266),"{'spatialReference': {'wkid': 4326}, 'x': 2.06674, 'y': 41.5266}"
2017-12-10 09:09:50,41.35372,1.70534,13,movistar,Movistar,0,STATE_IN_SERVICE,4G,0.0,2.0,32.0,gps,STILL,0.0,0.0,83054.0,Vilafranca del Penedès,POINT(1.70534 41.35372),"{'spatialReference': {'wkid': 4326}, 'x': 1.70534, 'y': 41.35372}"
2017-12-10 15:38:13,42.24863,3.19512,17,movistar,Movistar,0,STATE_IN_SERVICE,4G,0.3,2.0,24.0,gps,STILL,0.0,0.0,171523.0,Roses,POINT(3.19512 42.24863),"{'spatialReference': {'wkid': 4326}, 'x': 3.19512, 'y': 42.24863}"
2017-12-10 09:30:52,42.12251,2.34279,10,orange,Orange SP,0,STATE_IN_SERVICE,4G,1.3,4.0,33.0,gps,STILL,0.0,0.0,172121.0,Vidrà,POINT(2.34279 42.12251),"{'spatialReference': {'wkid': 4326}, 'x': 2.34279, 'y': 42.12251}"
2017-12-10 11:25:16,40.81833,0.50771,17,orange,Orange SP,0,STATE_IN_SERVICE,4G,0.4,3.0,63.0,gps,STILL,0.0,0.0,431331.0,Roquetes,POINT(0.50771 40.81833),"{'spatialReference': {'wkid': 4326}, 'x': 0.50771, 'y': 40.81833}"
2017-12-10 15:45:19,41.33063,2.0995,11,vodafone,vodafone ES,0,STATE_IN_SERVICE,4G,0.4,2.0,19.0,gps,STILL,0.0,0.0,81691.0,el Prat de Llobregat,POINT(2.0995 41.33063),"{'spatialReference': {'wkid': 4326}, 'x': 2.0995, 'y': 41.33063}"
2017-12-10 10:18:45,41.36917,2.05827,4,orange,Orange,0,STATE_IN_SERVICE,4G,0.0,0.0,45.0,gps,ON_FOOT,0.0,0.0,82172.0,Sant Joan Despí,POINT(2.05827 41.36917),"{'spatialReference': {'wkid': 4326}, 'x': 2.05827, 'y': 41.36917}"
2017-12-10 09:28:21,41.65388,1.14029,9,jazztel,JAZZTEL,0,STATE_IN_SERVICE,4G,0.0,4.0,18.0,gps,TILTING,0.0,0.0,252173.0,Tàrrega,POINT(1.14029 41.65388),"{'spatialReference': {'wkid': 4326}, 'x': 1.14029, 'y': 41.65388}"
2017-12-10 19:22:42,41.65377,1.13997,11,jazztel,JAZZTEL,0,STATE_IN_SERVICE,4G,0.0,0.0,19.0,gps,TILTING,0.0,0.0,252173.0,Tàrrega,POINT(1.13997 41.65377),"{'spatialReference': {'wkid': 4326}, 'x': 1.13997, 'y': 41.65377}"
2017-12-10 18:23:27,42.12286,2.3428,8,orange,Orange SP,0,STATE_IN_SERVICE,4G,0.2,4.0,21.0,gps,UNKNOWN,0.0,0.0,172121.0,Vidrà,POINT(2.3428 42.12286),"{'spatialReference': {'wkid': 4326}, 'x': 2.3428, 'y': 42.12286}"
2017-12-10 09:42:06,41.38227,2.18105,10,orange,Orange,2,STATE_EMERGENCY_ONLY,4G,4.5,11.0,26.0,gps,STILL,0.0,0.0,80193.0,Barcelona,POINT(2.18105 41.38227),"{'spatialReference': {'wkid': 4326}, 'x': 2.18105, 'y': 41.38227}"
2017-12-10 17:06:10,41.38269,2.19345,26,orange,Orange,2,STATE_EMERGENCY_ONLY,4G,0.0,0.0,12.0,gps,STILL,0.0,0.0,80193.0,Barcelona,POINT(2.19345 41.38269),"{'spatialReference': {'wkid': 4326}, 'x': 2.19345, 'y': 41.38269}"
2017-12-10 17:20:35,41.39181,2.19794,13,orange,Orange,2,STATE_EMERGENCY_ONLY,4G,10.9,5.0,4.0,gps,STILL,0.0,0.0,80193.0,Barcelona,POINT(2.19794 41.39181),"{'spatialReference': {'wkid': 4326}, 'x': 2.19794, 'y': 41.39181}"
2017-12-10 12:09:41,41.38919,2.17213,5,orange,Orange,2,STATE_EMERGENCY_ONLY,4G,8.6,0.0,12.0,gps,STILL,0.0,0.0,80193.0,Barcelona,POINT(2.17213 41.38919),"{'spatialReference': {'wkid': 4326}, 'x': 2.17213, 'y': 41.38919}"
2017-12-10 14:53:52,41.43051,2.14174,14,movistar,Movistar,2,STATE_EMERGENCY_ONLY,4G,0.3,3.0,47.0,gps,STILL,0.0,0.0,80193.0,Barcelona,POINT(2.14174 41.43051),"{'spatialReference': {'wkid': 4326}, 'x': 2.14174, 'y': 41.43051}"
